Team,Breaks,Schedule Type,League
Brooklyn Nets,40,Planned,NBA
Los Angeles Lakers,47,Planned,NBA
Cleveland Cavaliers,42,Planned,NBA
Indiana Pacers,36,Planned,NBA
Orlando Magic,41,Planned,NBA
Philadelphia 76ers,40,Planned,NBA
Toronto Raptors,41,Planned,NBA
Boston Celtics,41,Planned,NBA
Chicago Bulls,33,Planned,NBA
Memphis Grizzlies,42,Planned,NBA
Minnesota Timberwolves,40,Planned,NBA
Denver Nuggets,41,Planned,NBA
Portland Trail Blazers,47,Planned,NBA
Phoenix Suns,43,Planned,NBA
Miami Heat,42,Planned,NBA
Milwaukee Bucks,45,Planned,NBA
Charlotte Hornets,42,Planned,NBA
Detroit Pistons,37,Planned,NBA
Washington Wizards,46,Planned,NBA
New York Knicks,41,Planned,NBA
San Antonio Spurs,43,Planned,NBA
Utah Jazz,42,Planned,NBA
Sacramento Kings,43,Planned,NBA
Los Angeles Clippers,46,Planned,NBA
New Orleans Pelicans,44,Planned,NBA
Atlanta Hawks,39,Planned,NBA
Oklahoma City Thunder,47,Planned,NBA
Dallas Mavericks,41,Planned,NBA
Houston Rockets,40,Planned,NBA
Golden State Warriors,47,Planned,NBA
all,1259,Planned,NBA
Brooklyn Nets,40,Actual,NBA
Los Angeles Lakers,47,Actual,NBA
Cleveland Cavaliers,43,Actual,NBA
Indiana Pacers,36,Actual,NBA
Orlando Magic,39,Actual,NBA
Philadelphia 76ers,40,Actual,NBA
Toronto Raptors,41,Actual,NBA
Boston Celtics,43,Actual,NBA
Chicago Bulls,37,Actual,NBA
Memphis Grizzlies,44,Actual,NBA
Minnesota Timberwolves,40,Actual,NBA
Denver Nuggets,41,Actual,NBA
Portland Trail Blazers,47,Actual,NBA
Phoenix Suns,43,Actual,NBA
Miami Heat,42,Actual,NBA
Milwaukee Bucks,45,Actual,NBA
Charlotte Hornets,42,Actual,NBA
Detroit Pistons,37,Actual,NBA
Washington Wizards,45,Actual,NBA
New York Knicks,41,Actual,NBA
San Antonio Spurs,45,Actual,NBA
Utah Jazz,42,Actual,NBA
Sacramento Kings,42,Actual,NBA
Los Angeles Clippers,46,Actual,NBA
New Orleans Pelicans,44,Actual,NBA
Atlanta Hawks,39,Actual,NBA
Oklahoma City Thunder,47,Actual,NBA
Dallas Mavericks,41,Actual,NBA
Houston Rockets,41,Actual,NBA
Golden State Warriors,47,Actual,NBA
all,1267,Actual,NBA
Colorado Avalanche,37,Planned,NHL
Edmonton Oilers,33,Planned,NHL
Philadelphia Flyers,31,Planned,NHL
Tampa Bay Lightning,39,Planned,NHL
Toronto Maple Leafs,31,Planned,NHL
Arizona Coyotes,43,Planned,NHL
Buffalo Sabres,35,Planned,NHL
Detroit Red Wings,37,Planned,NHL
Los Angeles Kings,38,Planned,NHL
New Jersey Devils,33,Planned,NHL
Nashville Predators,38,Planned,NHL
New York Rangers,33,Planned,NHL
Vegas Golden Knights,36,Planned,NHL
Winnipeg Jets,40,Planned,NHL
Ottawa Senators,37,Planned,NHL
Calgary Flames,36,Planned,NHL
Florida Panthers,40,Planned,NHL
Pittsburgh Penguins,37,Planned,NHL
Anaheim Ducks,32,Planned,NHL
New York Islanders,37,Planned,NHL
St. Louis Blues,38,Planned,NHL
Vancouver Canucks,39,Planned,NHL
Boston Bruins,37,Planned,NHL
Columbus Blue Jackets,37,Planned,NHL
Chicago Blackhawks,39,Planned,NHL
Dallas Stars,42,Planned,NHL
Minnesota Wild,37,Planned,NHL
Washington Capitals,37,Planned,NHL
Carolina Hurricanes,40,Planned,NHL
Montreal Canadiens,37,Planned,NHL
San Jose Sharks,39,Planned,NHL
all,1145,Planned,NHL
Colorado Avalanche,38,Actual,NHL
Edmonton Oilers,35,Actual,NHL
Philadelphia Flyers,33,Actual,NHL
Tampa Bay Lightning,35,Actual,NHL
Toronto Maple Leafs,31,Actual,NHL
Arizona Coyotes,41,Actual,NHL
Buffalo Sabres,37,Actual,NHL
Detroit Red Wings,37,Actual,NHL
Los Angeles Kings,39,Actual,NHL
New Jersey Devils,33,Actual,NHL
Nashville Predators,36,Actual,NHL
New York Rangers,35,Actual,NHL
Vegas Golden Knights,34,Actual,NHL
Winnipeg Jets,40,Actual,NHL
Ottawa Senators,39,Actual,NHL
Calgary Flames,36,Actual,NHL
Florida Panthers,42,Actual,NHL
Pittsburgh Penguins,39,Actual,NHL
Anaheim Ducks,30,Actual,NHL
New York Islanders,35,Actual,NHL
St. Louis Blues,37,Actual,NHL
Vancouver Canucks,41,Actual,NHL
Boston Bruins,39,Actual,NHL
Columbus Blue Jackets,37,Actual,NHL
Chicago Blackhawks,39,Actual,NHL
Dallas Stars,39,Actual,NHL
Minnesota Wild,40,Actual,NHL
Washington Capitals,37,Actual,NHL
Carolina Hurricanes,40,Actual,NHL
Montreal Canadiens,37,Actual,NHL
San Jose Sharks,41,Actual,NHL
all,1152,Actual,NHL
Brooklyn Nets,40,basic - low - basic - monthly,NBA
Los Angeles Lakers,47,basic - low - basic - monthly,NBA
Cleveland Cavaliers,42,basic - low - basic - monthly,NBA
Indiana Pacers,36,basic - low - basic - monthly,NBA
Orlando Magic,39,basic - low - basic - monthly,NBA
Philadelphia 76ers,40,basic - low - basic - monthly,NBA
Toronto Raptors,41,basic - low - basic - monthly,NBA
Boston Celtics,43,basic - low - basic - monthly,NBA
Chicago Bulls,38,basic - low - basic - monthly,NBA
Memphis Grizzlies,43,basic - low - basic - monthly,NBA
Minnesota Timberwolves,40,basic - low - basic - monthly,NBA
Denver Nuggets,41,basic - low - basic - monthly,NBA
Portland Trail Blazers,46,basic - low - basic - monthly,NBA
Phoenix Suns,43,basic - low - basic - monthly,NBA
Miami Heat,42,basic - low - basic - monthly,NBA
Milwaukee Bucks,44,basic - low - basic - monthly,NBA
Charlotte Hornets,41,basic - low - basic - monthly,NBA
Detroit Pistons,37,basic - low - basic - monthly,NBA
Washington Wizards,44,basic - low - basic - monthly,NBA
New York Knicks,41,basic - low - basic - monthly,NBA
San Antonio Spurs,45,basic - low - basic - monthly,NBA
Utah Jazz,42,basic - low - basic - monthly,NBA
Sacramento Kings,42,basic - low - basic - monthly,NBA
Los Angeles Clippers,46,basic - low - basic - monthly,NBA
New Orleans Pelicans,44,basic - low - basic - monthly,NBA
Atlanta Hawks,39,basic - low - basic - monthly,NBA
Oklahoma City Thunder,47,basic - low - basic - monthly,NBA
Dallas Mavericks,41,basic - low - basic - monthly,NBA
Houston Rockets,41,basic - low - basic - monthly,NBA
Golden State Warriors,47,basic - low - basic - monthly,NBA
all,1262,basic - low - basic - monthly,NBA
Brooklyn Nets,40,basic - low - basic - post_all_star,NBA
Los Angeles Lakers,47,basic - low - basic - post_all_star,NBA
Cleveland Cavaliers,43,basic - low - basic - post_all_star,NBA
Indiana Pacers,36,basic - low - basic - post_all_star,NBA
Orlando Magic,39,basic - low - basic - post_all_star,NBA
Philadelphia 76ers,40,basic - low - basic - post_all_star,NBA
Toronto Raptors,41,basic - low - basic - post_all_star,NBA
Boston Celtics,43,basic - low - basic - post_all_star,NBA
Chicago Bulls,38,basic - low - basic - post_all_star,NBA
Memphis Grizzlies,43,basic - low - basic - post_all_star,NBA
Minnesota Timberwolves,40,basic - low - basic - post_all_star,NBA
Denver Nuggets,41,basic - low - basic - post_all_star,NBA
Portland Trail Blazers,46,basic - low - basic - post_all_star,NBA
Phoenix Suns,43,basic - low - basic - post_all_star,NBA
Miami Heat,42,basic - low - basic - post_all_star,NBA
Milwaukee Bucks,44,basic - low - basic - post_all_star,NBA
Charlotte Hornets,41,basic - low - basic - post_all_star,NBA
Detroit Pistons,37,basic - low - basic - post_all_star,NBA
Washington Wizards,44,basic - low - basic - post_all_star,NBA
New York Knicks,41,basic - low - basic - post_all_star,NBA
San Antonio Spurs,45,basic - low - basic - post_all_star,NBA
Utah Jazz,42,basic - low - basic - post_all_star,NBA
Sacramento Kings,42,basic - low - basic - post_all_star,NBA
Los Angeles Clippers,46,basic - low - basic - post_all_star,NBA
New Orleans Pelicans,44,basic - low - basic - post_all_star,NBA
Atlanta Hawks,39,basic - low - basic - post_all_star,NBA
Oklahoma City Thunder,47,basic - low - basic - post_all_star,NBA
Dallas Mavericks,41,basic - low - basic - post_all_star,NBA
Houston Rockets,41,basic - low - basic - post_all_star,NBA
Golden State Warriors,47,basic - low - basic - post_all_star,NBA
all,1263,basic - low - basic - post_all_star,NBA
Brooklyn Nets,40,basic - low - 15_more_games - monthly,NBA
Los Angeles Lakers,48,basic - low - 15_more_games - monthly,NBA
Cleveland Cavaliers,42,basic - low - 15_more_games - monthly,NBA
Indiana Pacers,35,basic - low - 15_more_games - monthly,NBA
Orlando Magic,39,basic - low - 15_more_games - monthly,NBA
Philadelphia 76ers,40,basic - low - 15_more_games - monthly,NBA
Toronto Raptors,40,basic - low - 15_more_games - monthly,NBA
Boston Celtics,43,basic - low - 15_more_games - monthly,NBA
Chicago Bulls,37,basic - low - 15_more_games - monthly,NBA
Memphis Grizzlies,41,basic - low - 15_more_games - monthly,NBA
Minnesota Timberwolves,40,basic - low - 15_more_games - monthly,NBA
Denver Nuggets,41,basic - low - 15_more_games - monthly,NBA
Portland Trail Blazers,46,basic - low - 15_more_games - monthly,NBA
Phoenix Suns,42,basic - low - 15_more_games - monthly,NBA
Miami Heat,42,basic - low - 15_more_games - monthly,NBA
Milwaukee Bucks,47,basic - low - 15_more_games - monthly,NBA
Charlotte Hornets,41,basic - low - 15_more_games - monthly,NBA
Detroit Pistons,37,basic - low - 15_more_games - monthly,NBA
Washington Wizards,44,basic - low - 15_more_games - monthly,NBA
New York Knicks,41,basic - low - 15_more_games - monthly,NBA
San Antonio Spurs,43,basic - low - 15_more_games - monthly,NBA
Utah Jazz,42,basic - low - 15_more_games - monthly,NBA
Sacramento Kings,42,basic - low - 15_more_games - monthly,NBA
Los Angeles Clippers,46,basic - low - 15_more_games - monthly,NBA
New Orleans Pelicans,42,basic - low - 15_more_games - monthly,NBA
Atlanta Hawks,39,basic - low - 15_more_games - monthly,NBA
Oklahoma City Thunder,47,basic - low - 15_more_games - monthly,NBA
Dallas Mavericks,40,basic - low - 15_more_games - monthly,NBA
Houston Rockets,40,basic - low - 15_more_games - monthly,NBA
Golden State Warriors,46,basic - low - 15_more_games - monthly,NBA
all,1253,basic - low - 15_more_games - monthly,NBA
Brooklyn Nets,40,basic - low - 15_more_games - post_all_star,NBA
Los Angeles Lakers,47,basic - low - 15_more_games - post_all_star,NBA
Cleveland Cavaliers,43,basic - low - 15_more_games - post_all_star,NBA
Indiana Pacers,36,basic - low - 15_more_games - post_all_star,NBA
Orlando Magic,39,basic - low - 15_more_games - post_all_star,NBA
Philadelphia 76ers,40,basic - low - 15_more_games - post_all_star,NBA
Toronto Raptors,41,basic - low - 15_more_games - post_all_star,NBA
Boston Celtics,43,basic - low - 15_more_games - post_all_star,NBA
Chicago Bulls,39,basic - low - 15_more_games - post_all_star,NBA
Memphis Grizzlies,44,basic - low - 15_more_games - post_all_star,NBA
Minnesota Timberwolves,40,basic - low - 15_more_games - post_all_star,NBA
Denver Nuggets,41,basic - low - 15_more_games - post_all_star,NBA
Portland Trail Blazers,47,basic - low - 15_more_games - post_all_star,NBA
Phoenix Suns,43,basic - low - 15_more_games - post_all_star,NBA
Miami Heat,42,basic - low - 15_more_games - post_all_star,NBA
Milwaukee Bucks,45,basic - low - 15_more_games - post_all_star,NBA
Charlotte Hornets,42,basic - low - 15_more_games - post_all_star,NBA
Detroit Pistons,37,basic - low - 15_more_games - post_all_star,NBA
Washington Wizards,43,basic - low - 15_more_games - post_all_star,NBA
New York Knicks,41,basic - low - 15_more_games - post_all_star,NBA
San Antonio Spurs,45,basic - low - 15_more_games - post_all_star,NBA
Utah Jazz,42,basic - low - 15_more_games - post_all_star,NBA
Sacramento Kings,42,basic - low - 15_more_games - post_all_star,NBA
Los Angeles Clippers,46,basic - low - 15_more_games - post_all_star,NBA
New Orleans Pelicans,44,basic - low - 15_more_games - post_all_star,NBA
Atlanta Hawks,39,basic - low - 15_more_games - post_all_star,NBA
Oklahoma City Thunder,47,basic - low - 15_more_games - post_all_star,NBA
Dallas Mavericks,41,basic - low - 15_more_games - post_all_star,NBA
Houston Rockets,41,basic - low - 15_more_games - post_all_star,NBA
Golden State Warriors,47,basic - low - 15_more_games - post_all_star,NBA
all,1267,basic - low - 15_more_games - post_all_star,NBA
Brooklyn Nets,38,basic - low - 25_more_games - monthly,NBA
Los Angeles Lakers,47,basic - low - 25_more_games - monthly,NBA
Cleveland Cavaliers,42,basic - low - 25_more_games - monthly,NBA
Indiana Pacers,35,basic - low - 25_more_games - monthly,NBA
Orlando Magic,39,basic - low - 25_more_games - monthly,NBA
Philadelphia 76ers,40,basic - low - 25_more_games - monthly,NBA
Toronto Raptors,41,basic - low - 25_more_games - monthly,NBA
Boston Celtics,43,basic - low - 25_more_games - monthly,NBA
Chicago Bulls,37,basic - low - 25_more_games - monthly,NBA
Memphis Grizzlies,43,basic - low - 25_more_games - monthly,NBA
Minnesota Timberwolves,40,basic - low - 25_more_games - monthly,NBA
Denver Nuggets,41,basic - low - 25_more_games - monthly,NBA
Portland Trail Blazers,44,basic - low - 25_more_games - monthly,NBA
Phoenix Suns,43,basic - low - 25_more_games - monthly,NBA
Miami Heat,44,basic - low - 25_more_games - monthly,NBA
Milwaukee Bucks,47,basic - low - 25_more_games - monthly,NBA
Charlotte Hornets,43,basic - low - 25_more_games - monthly,NBA
Detroit Pistons,37,basic - low - 25_more_games - monthly,NBA
Washington Wizards,43,basic - low - 25_more_games - monthly,NBA
New York Knicks,41,basic - low - 25_more_games - monthly,NBA
San Antonio Spurs,45,basic - low - 25_more_games - monthly,NBA
Utah Jazz,44,basic - low - 25_more_games - monthly,NBA
Sacramento Kings,40,basic - low - 25_more_games - monthly,NBA
Los Angeles Clippers,46,basic - low - 25_more_games - monthly,NBA
New Orleans Pelicans,43,basic - low - 25_more_games - monthly,NBA
Atlanta Hawks,39,basic - low - 25_more_games - monthly,NBA
Oklahoma City Thunder,47,basic - low - 25_more_games - monthly,NBA
Dallas Mavericks,40,basic - low - 25_more_games - monthly,NBA
Houston Rockets,38,basic - low - 25_more_games - monthly,NBA
Golden State Warriors,47,basic - low - 25_more_games - monthly,NBA
all,1257,basic - low - 25_more_games - monthly,NBA
Brooklyn Nets,40,basic - low - 25_more_games - post_all_star,NBA
Los Angeles Lakers,47,basic - low - 25_more_games - post_all_star,NBA
Cleveland Cavaliers,43,basic - low - 25_more_games - post_all_star,NBA
Indiana Pacers,36,basic - low - 25_more_games - post_all_star,NBA
Orlando Magic,39,basic - low - 25_more_games - post_all_star,NBA
Philadelphia 76ers,40,basic - low - 25_more_games - post_all_star,NBA
Toronto Raptors,41,basic - low - 25_more_games - post_all_star,NBA
Boston Celtics,43,basic - low - 25_more_games - post_all_star,NBA
Chicago Bulls,39,basic - low - 25_more_games - post_all_star,NBA
Memphis Grizzlies,44,basic - low - 25_more_games - post_all_star,NBA
Minnesota Timberwolves,40,basic - low - 25_more_games - post_all_star,NBA
Denver Nuggets,41,basic - low - 25_more_games - post_all_star,NBA
Portland Trail Blazers,47,basic - low - 25_more_games - post_all_star,NBA
Phoenix Suns,43,basic - low - 25_more_games - post_all_star,NBA
Miami Heat,42,basic - low - 25_more_games - post_all_star,NBA
Milwaukee Bucks,45,basic - low - 25_more_games - post_all_star,NBA
Charlotte Hornets,42,basic - low - 25_more_games - post_all_star,NBA
Detroit Pistons,37,basic - low - 25_more_games - post_all_star,NBA
Washington Wizards,43,basic - low - 25_more_games - post_all_star,NBA
New York Knicks,41,basic - low - 25_more_games - post_all_star,NBA
San Antonio Spurs,45,basic - low - 25_more_games - post_all_star,NBA
Utah Jazz,42,basic - low - 25_more_games - post_all_star,NBA
Sacramento Kings,42,basic - low - 25_more_games - post_all_star,NBA
Los Angeles Clippers,46,basic - low - 25_more_games - post_all_star,NBA
New Orleans Pelicans,44,basic - low - 25_more_games - post_all_star,NBA
Atlanta Hawks,39,basic - low - 25_more_games - post_all_star,NBA
Oklahoma City Thunder,47,basic - low - 25_more_games - post_all_star,NBA
Dallas Mavericks,41,basic - low - 25_more_games - post_all_star,NBA
Houston Rockets,41,basic - low - 25_more_games - post_all_star,NBA
Golden State Warriors,47,basic - low - 25_more_games - post_all_star,NBA
all,1267,basic - low - 25_more_games - post_all_star,NBA
Brooklyn Nets,40,basic - low - 15_games_in_march - monthly,NBA
Los Angeles Lakers,47,basic - low - 15_games_in_march - monthly,NBA
Cleveland Cavaliers,42,basic - low - 15_games_in_march - monthly,NBA
Indiana Pacers,37,basic - low - 15_games_in_march - monthly,NBA
Orlando Magic,41,basic - low - 15_games_in_march - monthly,NBA
Philadelphia 76ers,40,basic - low - 15_games_in_march - monthly,NBA
Toronto Raptors,41,basic - low - 15_games_in_march - monthly,NBA
Boston Celtics,43,basic - low - 15_games_in_march - monthly,NBA
Chicago Bulls,38,basic - low - 15_games_in_march - monthly,NBA
Memphis Grizzlies,43,basic - low - 15_games_in_march - monthly,NBA
Minnesota Timberwolves,42,basic - low - 15_games_in_march - monthly,NBA
Denver Nuggets,41,basic - low - 15_games_in_march - monthly,NBA
Portland Trail Blazers,46,basic - low - 15_games_in_march - monthly,NBA
Phoenix Suns,43,basic - low - 15_games_in_march - monthly,NBA
Miami Heat,44,basic - low - 15_games_in_march - monthly,NBA
Milwaukee Bucks,43,basic - low - 15_games_in_march - monthly,NBA
Charlotte Hornets,41,basic - low - 15_games_in_march - monthly,NBA
Detroit Pistons,37,basic - low - 15_games_in_march - monthly,NBA
Washington Wizards,42,basic - low - 15_games_in_march - monthly,NBA
New York Knicks,41,basic - low - 15_games_in_march - monthly,NBA
San Antonio Spurs,47,basic - low - 15_games_in_march - monthly,NBA
Utah Jazz,44,basic - low - 15_games_in_march - monthly,NBA
Sacramento Kings,41,basic - low - 15_games_in_march - monthly,NBA
Los Angeles Clippers,45,basic - low - 15_games_in_march - monthly,NBA
New Orleans Pelicans,44,basic - low - 15_games_in_march - monthly,NBA
Atlanta Hawks,39,basic - low - 15_games_in_march - monthly,NBA
Oklahoma City Thunder,46,basic - low - 15_games_in_march - monthly,NBA
Dallas Mavericks,40,basic - low - 15_games_in_march - monthly,NBA
Houston Rockets,39,basic - low - 15_games_in_march - monthly,NBA
Golden State Warriors,49,basic - low - 15_games_in_march - monthly,NBA
all,1266,basic - low - 15_games_in_march - monthly,NBA
Brooklyn Nets,40,basic - low - 15_games_in_march - post_all_star,NBA
Los Angeles Lakers,47,basic - low - 15_games_in_march - post_all_star,NBA
Cleveland Cavaliers,43,basic - low - 15_games_in_march - post_all_star,NBA
Indiana Pacers,36,basic - low - 15_games_in_march - post_all_star,NBA
Orlando Magic,41,basic - low - 15_games_in_march - post_all_star,NBA
Philadelphia 76ers,40,basic - low - 15_games_in_march - post_all_star,NBA
Toronto Raptors,41,basic - low - 15_games_in_march - post_all_star,NBA
Boston Celtics,43,basic - low - 15_games_in_march - post_all_star,NBA
Chicago Bulls,38,basic - low - 15_games_in_march - post_all_star,NBA
Memphis Grizzlies,43,basic - low - 15_games_in_march - post_all_star,NBA
Minnesota Timberwolves,42,basic - low - 15_games_in_march - post_all_star,NBA
Denver Nuggets,41,basic - low - 15_games_in_march - post_all_star,NBA
Portland Trail Blazers,46,basic - low - 15_games_in_march - post_all_star,NBA
Phoenix Suns,42,basic - low - 15_games_in_march - post_all_star,NBA
Miami Heat,44,basic - low - 15_games_in_march - post_all_star,NBA
Milwaukee Bucks,43,basic - low - 15_games_in_march - post_all_star,NBA
Charlotte Hornets,41,basic - low - 15_games_in_march - post_all_star,NBA
Detroit Pistons,37,basic - low - 15_games_in_march - post_all_star,NBA
Washington Wizards,42,basic - low - 15_games_in_march - post_all_star,NBA
New York Knicks,41,basic - low - 15_games_in_march - post_all_star,NBA
San Antonio Spurs,47,basic - low - 15_games_in_march - post_all_star,NBA
Utah Jazz,44,basic - low - 15_games_in_march - post_all_star,NBA
Sacramento Kings,41,basic - low - 15_games_in_march - post_all_star,NBA
Los Angeles Clippers,45,basic - low - 15_games_in_march - post_all_star,NBA
New Orleans Pelicans,44,basic - low - 15_games_in_march - post_all_star,NBA
Atlanta Hawks,39,basic - low - 15_games_in_march - post_all_star,NBA
Oklahoma City Thunder,47,basic - low - 15_games_in_march - post_all_star,NBA
Dallas Mavericks,40,basic - low - 15_games_in_march - post_all_star,NBA
Houston Rockets,39,basic - low - 15_games_in_march - post_all_star,NBA
Golden State Warriors,49,basic - low - 15_games_in_march - post_all_star,NBA
all,1266,basic - low - 15_games_in_march - post_all_star,NBA
Brooklyn Nets,40,min_diff - low - basic - monthly,NBA
Los Angeles Lakers,47,min_diff - low - basic - monthly,NBA
Cleveland Cavaliers,42,min_diff - low - basic - monthly,NBA
Indiana Pacers,36,min_diff - low - basic - monthly,NBA
Orlando Magic,39,min_diff - low - basic - monthly,NBA
Philadelphia 76ers,40,min_diff - low - basic - monthly,NBA
Toronto Raptors,41,min_diff - low - basic - monthly,NBA
Boston Celtics,43,min_diff - low - basic - monthly,NBA
Chicago Bulls,38,min_diff - low - basic - monthly,NBA
Memphis Grizzlies,42,min_diff - low - basic - monthly,NBA
Minnesota Timberwolves,40,min_diff - low - basic - monthly,NBA
Denver Nuggets,41,min_diff - low - basic - monthly,NBA
Portland Trail Blazers,46,min_diff - low - basic - monthly,NBA
Phoenix Suns,43,min_diff - low - basic - monthly,NBA
Miami Heat,42,min_diff - low - basic - monthly,NBA
Milwaukee Bucks,44,min_diff - low - basic - monthly,NBA
Charlotte Hornets,41,min_diff - low - basic - monthly,NBA
Detroit Pistons,37,min_diff - low - basic - monthly,NBA
Washington Wizards,44,min_diff - low - basic - monthly,NBA
New York Knicks,41,min_diff - low - basic - monthly,NBA
San Antonio Spurs,45,min_diff - low - basic - monthly,NBA
Utah Jazz,42,min_diff - low - basic - monthly,NBA
Sacramento Kings,41,min_diff - low - basic - monthly,NBA
Los Angeles Clippers,46,min_diff - low - basic - monthly,NBA
New Orleans Pelicans,44,min_diff - low - basic - monthly,NBA
Atlanta Hawks,39,min_diff - low - basic - monthly,NBA
Oklahoma City Thunder,47,min_diff - low - basic - monthly,NBA
Dallas Mavericks,41,min_diff - low - basic - monthly,NBA
Houston Rockets,41,min_diff - low - basic - monthly,NBA
Golden State Warriors,47,min_diff - low - basic - monthly,NBA
all,1260,min_diff - low - basic - monthly,NBA
Brooklyn Nets,40,min_diff - low - basic - post_all_star,NBA
Los Angeles Lakers,47,min_diff - low - basic - post_all_star,NBA
Cleveland Cavaliers,43,min_diff - low - basic - post_all_star,NBA
Indiana Pacers,36,min_diff - low - basic - post_all_star,NBA
Orlando Magic,39,min_diff - low - basic - post_all_star,NBA
Philadelphia 76ers,40,min_diff - low - basic - post_all_star,NBA
Toronto Raptors,41,min_diff - low - basic - post_all_star,NBA
Boston Celtics,43,min_diff - low - basic - post_all_star,NBA
Chicago Bulls,38,min_diff - low - basic - post_all_star,NBA
Memphis Grizzlies,42,min_diff - low - basic - post_all_star,NBA
Minnesota Timberwolves,40,min_diff - low - basic - post_all_star,NBA
Denver Nuggets,41,min_diff - low - basic - post_all_star,NBA
Portland Trail Blazers,46,min_diff - low - basic - post_all_star,NBA
Phoenix Suns,43,min_diff - low - basic - post_all_star,NBA
Miami Heat,42,min_diff - low - basic - post_all_star,NBA
Milwaukee Bucks,44,min_diff - low - basic - post_all_star,NBA
Charlotte Hornets,41,min_diff - low - basic - post_all_star,NBA
Detroit Pistons,37,min_diff - low - basic - post_all_star,NBA
Washington Wizards,44,min_diff - low - basic - post_all_star,NBA
New York Knicks,41,min_diff - low - basic - post_all_star,NBA
San Antonio Spurs,45,min_diff - low - basic - post_all_star,NBA
Utah Jazz,42,min_diff - low - basic - post_all_star,NBA
Sacramento Kings,41,min_diff - low - basic - post_all_star,NBA
Los Angeles Clippers,46,min_diff - low - basic - post_all_star,NBA
New Orleans Pelicans,44,min_diff - low - basic - post_all_star,NBA
Atlanta Hawks,39,min_diff - low - basic - post_all_star,NBA
Oklahoma City Thunder,47,min_diff - low - basic - post_all_star,NBA
Dallas Mavericks,41,min_diff - low - basic - post_all_star,NBA
Houston Rockets,41,min_diff - low - basic - post_all_star,NBA
Golden State Warriors,47,min_diff - low - basic - post_all_star,NBA
all,1261,min_diff - low - basic - post_all_star,NBA
Brooklyn Nets,40,min_diff - low - 15_more_games - monthly,NBA
Los Angeles Lakers,48,min_diff - low - 15_more_games - monthly,NBA
Cleveland Cavaliers,42,min_diff - low - 15_more_games - monthly,NBA
Indiana Pacers,35,min_diff - low - 15_more_games - monthly,NBA
Orlando Magic,39,min_diff - low - 15_more_games - monthly,NBA
Philadelphia 76ers,40,min_diff - low - 15_more_games - monthly,NBA
Toronto Raptors,40,min_diff - low - 15_more_games - monthly,NBA
Boston Celtics,43,min_diff - low - 15_more_games - monthly,NBA
Chicago Bulls,37,min_diff - low - 15_more_games - monthly,NBA
Memphis Grizzlies,41,min_diff - low - 15_more_games - monthly,NBA
Minnesota Timberwolves,40,min_diff - low - 15_more_games - monthly,NBA
Denver Nuggets,41,min_diff - low - 15_more_games - monthly,NBA
Portland Trail Blazers,46,min_diff - low - 15_more_games - monthly,NBA
Phoenix Suns,42,min_diff - low - 15_more_games - monthly,NBA
