Team,Breaks,Schedule Type,League
Miami Heat,42,min_diff - low - 15_more_games - monthly,NBA
Milwaukee Bucks,47,min_diff - low - 15_more_games - monthly,NBA
Charlotte Hornets,41,min_diff - low - 15_more_games - monthly,NBA
Detroit Pistons,37,min_diff - low - 15_more_games - monthly,NBA
Washington Wizards,44,min_diff - low - 15_more_games - monthly,NBA
New York Knicks,41,min_diff - low - 15_more_games - monthly,NBA
San Antonio Spurs,43,min_diff - low - 15_more_games - monthly,NBA
Utah Jazz,42,min_diff - low - 15_more_games - monthly,NBA
Sacramento Kings,41,min_diff - low - 15_more_games - monthly,NBA
Los Angeles Clippers,46,min_diff - low - 15_more_games - monthly,NBA
New Orleans Pelicans,42,min_diff - low - 15_more_games - monthly,NBA
Atlanta Hawks,38,min_diff - low - 15_more_games - monthly,NBA
Oklahoma City Thunder,47,min_diff - low - 15_more_games - monthly,NBA
Dallas Mavericks,40,min_diff - low - 15_more_games - monthly,NBA
Houston Rockets,40,min_diff - low - 15_more_games - monthly,NBA
Golden State Warriors,46,min_diff - low - 15_more_games - monthly,NBA
all,1251,min_diff - low - 15_more_games - monthly,NBA
Brooklyn Nets,40,min_diff - low - 15_more_games - post_all_star,NBA
Los Angeles Lakers,47,min_diff - low - 15_more_games - post_all_star,NBA
Cleveland Cavaliers,43,min_diff - low - 15_more_games - post_all_star,NBA
Indiana Pacers,36,min_diff - low - 15_more_games - post_all_star,NBA
Orlando Magic,39,min_diff - low - 15_more_games - post_all_star,NBA
Philadelphia 76ers,40,min_diff - low - 15_more_games - post_all_star,NBA
Toronto Raptors,41,min_diff - low - 15_more_games - post_all_star,NBA
Boston Celtics,43,min_diff - low - 15_more_games - post_all_star,NBA
Chicago Bulls,39,min_diff - low - 15_more_games - post_all_star,NBA
Memphis Grizzlies,41,min_diff - low - 15_more_games - post_all_star,NBA
Minnesota Timberwolves,40,min_diff - low - 15_more_games - post_all_star,NBA
Denver Nuggets,41,min_diff - low - 15_more_games - post_all_star,NBA
Portland Trail Blazers,46,min_diff - low - 15_more_games - post_all_star,NBA
Phoenix Suns,43,min_diff - low - 15_more_games - post_all_star,NBA
Miami Heat,42,min_diff - low - 15_more_games - post_all_star,NBA
Milwaukee Bucks,45,min_diff - low - 15_more_games - post_all_star,NBA
Charlotte Hornets,42,min_diff - low - 15_more_games - post_all_star,NBA
Detroit Pistons,37,min_diff - low - 15_more_games - post_all_star,NBA
Washington Wizards,43,min_diff - low - 15_more_games - post_all_star,NBA
New York Knicks,41,min_diff - low - 15_more_games - post_all_star,NBA
San Antonio Spurs,45,min_diff - low - 15_more_games - post_all_star,NBA
Utah Jazz,42,min_diff - low - 15_more_games - post_all_star,NBA
Sacramento Kings,42,min_diff - low - 15_more_games - post_all_star,NBA
Los Angeles Clippers,46,min_diff - low - 15_more_games - post_all_star,NBA
New Orleans Pelicans,44,min_diff - low - 15_more_games - post_all_star,NBA
Atlanta Hawks,39,min_diff - low - 15_more_games - post_all_star,NBA
Oklahoma City Thunder,47,min_diff - low - 15_more_games - post_all_star,NBA
Dallas Mavericks,41,min_diff - low - 15_more_games - post_all_star,NBA
Houston Rockets,41,min_diff - low - 15_more_games - post_all_star,NBA
Golden State Warriors,47,min_diff - low - 15_more_games - post_all_star,NBA
all,1263,min_diff - low - 15_more_games - post_all_star,NBA
Brooklyn Nets,38,min_diff - low - 25_more_games - monthly,NBA
Los Angeles Lakers,47,min_diff - low - 25_more_games - monthly,NBA
Cleveland Cavaliers,42,min_diff - low - 25_more_games - monthly,NBA
Indiana Pacers,35,min_diff - low - 25_more_games - monthly,NBA
Orlando Magic,39,min_diff - low - 25_more_games - monthly,NBA
Philadelphia 76ers,40,min_diff - low - 25_more_games - monthly,NBA
Toronto Raptors,41,min_diff - low - 25_more_games - monthly,NBA
Boston Celtics,41,min_diff - low - 25_more_games - monthly,NBA
Chicago Bulls,37,min_diff - low - 25_more_games - monthly,NBA
Memphis Grizzlies,42,min_diff - low - 25_more_games - monthly,NBA
Minnesota Timberwolves,42,min_diff - low - 25_more_games - monthly,NBA
Denver Nuggets,41,min_diff - low - 25_more_games - monthly,NBA
Portland Trail Blazers,47,min_diff - low - 25_more_games - monthly,NBA
Phoenix Suns,42,min_diff - low - 25_more_games - monthly,NBA
Miami Heat,44,min_diff - low - 25_more_games - monthly,NBA
Milwaukee Bucks,47,min_diff - low - 25_more_games - monthly,NBA
Charlotte Hornets,43,min_diff - low - 25_more_games - monthly,NBA
Detroit Pistons,37,min_diff - low - 25_more_games - monthly,NBA
Washington Wizards,43,min_diff - low - 25_more_games - monthly,NBA
New York Knicks,41,min_diff - low - 25_more_games - monthly,NBA
San Antonio Spurs,45,min_diff - low - 25_more_games - monthly,NBA
Utah Jazz,44,min_diff - low - 25_more_games - monthly,NBA
Sacramento Kings,38,min_diff - low - 25_more_games - monthly,NBA
Los Angeles Clippers,46,min_diff - low - 25_more_games - monthly,NBA
New Orleans Pelicans,43,min_diff - low - 25_more_games - monthly,NBA
Atlanta Hawks,39,min_diff - low - 25_more_games - monthly,NBA
Oklahoma City Thunder,47,min_diff - low - 25_more_games - monthly,NBA
Dallas Mavericks,40,min_diff - low - 25_more_games - monthly,NBA
Houston Rockets,38,min_diff - low - 25_more_games - monthly,NBA
Golden State Warriors,47,min_diff - low - 25_more_games - monthly,NBA
all,1256,min_diff - low - 25_more_games - monthly,NBA
Brooklyn Nets,40,min_diff - low - 25_more_games - post_all_star,NBA
Los Angeles Lakers,47,min_diff - low - 25_more_games - post_all_star,NBA
Cleveland Cavaliers,43,min_diff - low - 25_more_games - post_all_star,NBA
Indiana Pacers,36,min_diff - low - 25_more_games - post_all_star,NBA
Orlando Magic,39,min_diff - low - 25_more_games - post_all_star,NBA
Philadelphia 76ers,40,min_diff - low - 25_more_games - post_all_star,NBA
Toronto Raptors,41,min_diff - low - 25_more_games - post_all_star,NBA
Boston Celtics,43,min_diff - low - 25_more_games - post_all_star,NBA
Chicago Bulls,39,min_diff - low - 25_more_games - post_all_star,NBA
Memphis Grizzlies,41,min_diff - low - 25_more_games - post_all_star,NBA
Minnesota Timberwolves,40,min_diff - low - 25_more_games - post_all_star,NBA
Denver Nuggets,41,min_diff - low - 25_more_games - post_all_star,NBA
Portland Trail Blazers,46,min_diff - low - 25_more_games - post_all_star,NBA
Phoenix Suns,43,min_diff - low - 25_more_games - post_all_star,NBA
Miami Heat,42,min_diff - low - 25_more_games - post_all_star,NBA
Milwaukee Bucks,45,min_diff - low - 25_more_games - post_all_star,NBA
Charlotte Hornets,42,min_diff - low - 25_more_games - post_all_star,NBA
Detroit Pistons,37,min_diff - low - 25_more_games - post_all_star,NBA
Washington Wizards,43,min_diff - low - 25_more_games - post_all_star,NBA
New York Knicks,41,min_diff - low - 25_more_games - post_all_star,NBA
San Antonio Spurs,45,min_diff - low - 25_more_games - post_all_star,NBA
Utah Jazz,42,min_diff - low - 25_more_games - post_all_star,NBA
Sacramento Kings,42,min_diff - low - 25_more_games - post_all_star,NBA
Los Angeles Clippers,46,min_diff - low - 25_more_games - post_all_star,NBA
New Orleans Pelicans,44,min_diff - low - 25_more_games - post_all_star,NBA
Atlanta Hawks,39,min_diff - low - 25_more_games - post_all_star,NBA
Oklahoma City Thunder,47,min_diff - low - 25_more_games - post_all_star,NBA
Dallas Mavericks,41,min_diff - low - 25_more_games - post_all_star,NBA
Houston Rockets,41,min_diff - low - 25_more_games - post_all_star,NBA
Golden State Warriors,47,min_diff - low - 25_more_games - post_all_star,NBA
all,1263,min_diff - low - 25_more_games - post_all_star,NBA
Brooklyn Nets,40,min_diff - low - 15_games_in_march - monthly,NBA
Los Angeles Lakers,47,min_diff - low - 15_games_in_march - monthly,NBA
Cleveland Cavaliers,42,min_diff - low - 15_games_in_march - monthly,NBA
Indiana Pacers,36,min_diff - low - 15_games_in_march - monthly,NBA
Orlando Magic,41,min_diff - low - 15_games_in_march - monthly,NBA
Philadelphia 76ers,40,min_diff - low - 15_games_in_march - monthly,NBA
Toronto Raptors,41,min_diff - low - 15_games_in_march - monthly,NBA
Boston Celtics,43,min_diff - low - 15_games_in_march - monthly,NBA
Chicago Bulls,38,min_diff - low - 15_games_in_march - monthly,NBA
Memphis Grizzlies,41,min_diff - low - 15_games_in_march - monthly,NBA
Minnesota Timberwolves,42,min_diff - low - 15_games_in_march - monthly,NBA
Denver Nuggets,41,min_diff - low - 15_games_in_march - monthly,NBA
Portland Trail Blazers,46,min_diff - low - 15_games_in_march - monthly,NBA
Phoenix Suns,42,min_diff - low - 15_games_in_march - monthly,NBA
Miami Heat,44,min_diff - low - 15_games_in_march - monthly,NBA
Milwaukee Bucks,43,min_diff - low - 15_games_in_march - monthly,NBA
Charlotte Hornets,41,min_diff - low - 15_games_in_march - monthly,NBA
Detroit Pistons,37,min_diff - low - 15_games_in_march - monthly,NBA
Washington Wizards,42,min_diff - low - 15_games_in_march - monthly,NBA
New York Knicks,41,min_diff - low - 15_games_in_march - monthly,NBA
San Antonio Spurs,47,min_diff - low - 15_games_in_march - monthly,NBA
Utah Jazz,44,min_diff - low - 15_games_in_march - monthly,NBA
Sacramento Kings,41,min_diff - low - 15_games_in_march - monthly,NBA
Los Angeles Clippers,45,min_diff - low - 15_games_in_march - monthly,NBA
New Orleans Pelicans,44,min_diff - low - 15_games_in_march - monthly,NBA
Atlanta Hawks,38,min_diff - low - 15_games_in_march - monthly,NBA
Oklahoma City Thunder,46,min_diff - low - 15_games_in_march - monthly,NBA
Dallas Mavericks,40,min_diff - low - 15_games_in_march - monthly,NBA
Houston Rockets,39,min_diff - low - 15_games_in_march - monthly,NBA
Golden State Warriors,49,min_diff - low - 15_games_in_march - monthly,NBA
all,1261,min_diff - low - 15_games_in_march - monthly,NBA
Brooklyn Nets,40,min_diff - low - 15_games_in_march - post_all_star,NBA
Los Angeles Lakers,47,min_diff - low - 15_games_in_march - post_all_star,NBA
Cleveland Cavaliers,43,min_diff - low - 15_games_in_march - post_all_star,NBA
Indiana Pacers,37,min_diff - low - 15_games_in_march - post_all_star,NBA
Orlando Magic,41,min_diff - low - 15_games_in_march - post_all_star,NBA
Philadelphia 76ers,40,min_diff - low - 15_games_in_march - post_all_star,NBA
Toronto Raptors,41,min_diff - low - 15_games_in_march - post_all_star,NBA
Boston Celtics,43,min_diff - low - 15_games_in_march - post_all_star,NBA
Chicago Bulls,38,min_diff - low - 15_games_in_march - post_all_star,NBA
Memphis Grizzlies,41,min_diff - low - 15_games_in_march - post_all_star,NBA
Minnesota Timberwolves,42,min_diff - low - 15_games_in_march - post_all_star,NBA
Denver Nuggets,41,min_diff - low - 15_games_in_march - post_all_star,NBA
Portland Trail Blazers,46,min_diff - low - 15_games_in_march - post_all_star,NBA
Phoenix Suns,45,min_diff - low - 15_games_in_march - post_all_star,NBA
Miami Heat,44,min_diff - low - 15_games_in_march - post_all_star,NBA
Milwaukee Bucks,43,min_diff - low - 15_games_in_march - post_all_star,NBA
Charlotte Hornets,41,min_diff - low - 15_games_in_march - post_all_star,NBA
Detroit Pistons,37,min_diff - low - 15_games_in_march - post_all_star,NBA
Washington Wizards,42,min_diff - low - 15_games_in_march - post_all_star,NBA
New York Knicks,41,min_diff - low - 15_games_in_march - post_all_star,NBA
San Antonio Spurs,47,min_diff - low - 15_games_in_march - post_all_star,NBA
Utah Jazz,44,min_diff - low - 15_games_in_march - post_all_star,NBA
Sacramento Kings,41,min_diff - low - 15_games_in_march - post_all_star,NBA
Los Angeles Clippers,45,min_diff - low - 15_games_in_march - post_all_star,NBA
New Orleans Pelicans,44,min_diff - low - 15_games_in_march - post_all_star,NBA
Atlanta Hawks,41,min_diff - low - 15_games_in_march - post_all_star,NBA
Oklahoma City Thunder,46,min_diff - low - 15_games_in_march - post_all_star,NBA
Dallas Mavericks,40,min_diff - low - 15_games_in_march - post_all_star,NBA
Houston Rockets,39,min_diff - low - 15_games_in_march - post_all_star,NBA
Golden State Warriors,49,min_diff - low - 15_games_in_march - post_all_star,NBA
all,1269,min_diff - low - 15_games_in_march - post_all_star,NBA
Brooklyn Nets,40,balanced - low - basic - monthly,NBA
Los Angeles Lakers,47,balanced - low - basic - monthly,NBA
Cleveland Cavaliers,42,balanced - low - basic - monthly,NBA
Indiana Pacers,36,balanced - low - basic - monthly,NBA
Orlando Magic,39,balanced - low - basic - monthly,NBA
Philadelphia 76ers,40,balanced - low - basic - monthly,NBA
Toronto Raptors,41,balanced - low - basic - monthly,NBA
Boston Celtics,43,balanced - low - basic - monthly,NBA
Chicago Bulls,38,balanced - low - basic - monthly,NBA
Memphis Grizzlies,41,balanced - low - basic - monthly,NBA
Minnesota Timberwolves,40,balanced - low - basic - monthly,NBA
Denver Nuggets,41,balanced - low - basic - monthly,NBA
Portland Trail Blazers,46,balanced - low - basic - monthly,NBA
Phoenix Suns,44,balanced - low - basic - monthly,NBA
Miami Heat,42,balanced - low - basic - monthly,NBA
Milwaukee Bucks,44,balanced - low - basic - monthly,NBA
Charlotte Hornets,41,balanced - low - basic - monthly,NBA
Detroit Pistons,37,balanced - low - basic - monthly,NBA
Washington Wizards,44,balanced - low - basic - monthly,NBA
New York Knicks,41,balanced - low - basic - monthly,NBA
San Antonio Spurs,45,balanced - low - basic - monthly,NBA
Utah Jazz,42,balanced - low - basic - monthly,NBA
Sacramento Kings,42,balanced - low - basic - monthly,NBA
Los Angeles Clippers,46,balanced - low - basic - monthly,NBA
New Orleans Pelicans,44,balanced - low - basic - monthly,NBA
Atlanta Hawks,39,balanced - low - basic - monthly,NBA
Oklahoma City Thunder,47,balanced - low - basic - monthly,NBA
Dallas Mavericks,41,balanced - low - basic - monthly,NBA
Houston Rockets,41,balanced - low - basic - monthly,NBA
Golden State Warriors,47,balanced - low - basic - monthly,NBA
all,1261,balanced - low - basic - monthly,NBA
Brooklyn Nets,40,balanced - low - basic - post_all_star,NBA
Los Angeles Lakers,47,balanced - low - basic - post_all_star,NBA
Cleveland Cavaliers,43,balanced - low - basic - post_all_star,NBA
Indiana Pacers,36,balanced - low - basic - post_all_star,NBA
Orlando Magic,39,balanced - low - basic - post_all_star,NBA
Philadelphia 76ers,40,balanced - low - basic - post_all_star,NBA
Toronto Raptors,41,balanced - low - basic - post_all_star,NBA
Boston Celtics,43,balanced - low - basic - post_all_star,NBA
Chicago Bulls,38,balanced - low - basic - post_all_star,NBA
Memphis Grizzlies,41,balanced - low - basic - post_all_star,NBA
Minnesota Timberwolves,40,balanced - low - basic - post_all_star,NBA
Denver Nuggets,41,balanced - low - basic - post_all_star,NBA
Portland Trail Blazers,46,balanced - low - basic - post_all_star,NBA
Phoenix Suns,45,balanced - low - basic - post_all_star,NBA
Miami Heat,42,balanced - low - basic - post_all_star,NBA
Milwaukee Bucks,44,balanced - low - basic - post_all_star,NBA
Charlotte Hornets,41,balanced - low - basic - post_all_star,NBA
Detroit Pistons,37,balanced - low - basic - post_all_star,NBA
Washington Wizards,44,balanced - low - basic - post_all_star,NBA
New York Knicks,41,balanced - low - basic - post_all_star,NBA
San Antonio Spurs,45,balanced - low - basic - post_all_star,NBA
Utah Jazz,42,balanced - low - basic - post_all_star,NBA
Sacramento Kings,42,balanced - low - basic - post_all_star,NBA
Los Angeles Clippers,46,balanced - low - basic - post_all_star,NBA
New Orleans Pelicans,44,balanced - low - basic - post_all_star,NBA
Atlanta Hawks,39,balanced - low - basic - post_all_star,NBA
Oklahoma City Thunder,47,balanced - low - basic - post_all_star,NBA
Dallas Mavericks,41,balanced - low - basic - post_all_star,NBA
Houston Rockets,41,balanced - low - basic - post_all_star,NBA
Golden State Warriors,47,balanced - low - basic - post_all_star,NBA
all,1263,balanced - low - basic - post_all_star,NBA
Brooklyn Nets,40,balanced - low - 15_more_games - post_all_star,NBA
Los Angeles Lakers,47,balanced - low - 15_more_games - post_all_star,NBA
Cleveland Cavaliers,43,balanced - low - 15_more_games - post_all_star,NBA
Indiana Pacers,36,balanced - low - 15_more_games - post_all_star,NBA
Orlando Magic,39,balanced - low - 15_more_games - post_all_star,NBA
Philadelphia 76ers,40,balanced - low - 15_more_games - post_all_star,NBA
Toronto Raptors,41,balanced - low - 15_more_games - post_all_star,NBA
Boston Celtics,43,balanced - low - 15_more_games - post_all_star,NBA
Chicago Bulls,39,balanced - low - 15_more_games - post_all_star,NBA
Memphis Grizzlies,44,balanced - low - 15_more_games - post_all_star,NBA
Minnesota Timberwolves,40,balanced - low - 15_more_games - post_all_star,NBA
Denver Nuggets,41,balanced - low - 15_more_games - post_all_star,NBA
Portland Trail Blazers,47,balanced - low - 15_more_games - post_all_star,NBA
Phoenix Suns,45,balanced - low - 15_more_games - post_all_star,NBA
Miami Heat,42,balanced - low - 15_more_games - post_all_star,NBA
Milwaukee Bucks,45,balanced - low - 15_more_games - post_all_star,NBA
Charlotte Hornets,42,balanced - low - 15_more_games - post_all_star,NBA
Detroit Pistons,37,balanced - low - 15_more_games - post_all_star,NBA
Washington Wizards,43,balanced - low - 15_more_games - post_all_star,NBA
New York Knicks,41,balanced - low - 15_more_games - post_all_star,NBA
San Antonio Spurs,45,balanced - low - 15_more_games - post_all_star,NBA
Utah Jazz,42,balanced - low - 15_more_games - post_all_star,NBA
Sacramento Kings,42,balanced - low - 15_more_games - post_all_star,NBA
Los Angeles Clippers,46,balanced - low - 15_more_games - post_all_star,NBA
New Orleans Pelicans,44,balanced - low - 15_more_games - post_all_star,NBA
Atlanta Hawks,39,balanced - low - 15_more_games - post_all_star,NBA
Oklahoma City Thunder,47,balanced - low - 15_more_games - post_all_star,NBA
Dallas Mavericks,41,balanced - low - 15_more_games - post_all_star,NBA
Houston Rockets,41,balanced - low - 15_more_games - post_all_star,NBA
Golden State Warriors,47,balanced - low - 15_more_games - post_all_star,NBA
all,1269,balanced - low - 15_more_games - post_all_star,NBA
Brooklyn Nets,40,balanced - low - 25_more_games - post_all_star,NBA
Los Angeles Lakers,47,balanced - low - 25_more_games - post_all_star,NBA
Cleveland Cavaliers,43,balanced - low - 25_more_games - post_all_star,NBA
Indiana Pacers,36,balanced - low - 25_more_games - post_all_star,NBA
Orlando Magic,39,balanced - low - 25_more_games - post_all_star,NBA
Philadelphia 76ers,40,balanced - low - 25_more_games - post_all_star,NBA
Toronto Raptors,41,balanced - low - 25_more_games - post_all_star,NBA
Boston Celtics,43,balanced - low - 25_more_games - post_all_star,NBA
Chicago Bulls,39,balanced - low - 25_more_games - post_all_star,NBA
Memphis Grizzlies,44,balanced - low - 25_more_games - post_all_star,NBA
Minnesota Timberwolves,40,balanced - low - 25_more_games - post_all_star,NBA
Denver Nuggets,41,balanced - low - 25_more_games - post_all_star,NBA
Portland Trail Blazers,47,balanced - low - 25_more_games - post_all_star,NBA
Phoenix Suns,45,balanced - low - 25_more_games - post_all_star,NBA
Miami Heat,42,balanced - low - 25_more_games - post_all_star,NBA
Milwaukee Bucks,45,balanced - low - 25_more_games - post_all_star,NBA
Charlotte Hornets,42,balanced - low - 25_more_games - post_all_star,NBA
Detroit Pistons,37,balanced - low - 25_more_games - post_all_star,NBA
Washington Wizards,43,balanced - low - 25_more_games - post_all_star,NBA
New York Knicks,41,balanced - low - 25_more_games - post_all_star,NBA
San Antonio Spurs,45,balanced - low - 25_more_games - post_all_star,NBA
Utah Jazz,42,balanced - low - 25_more_games - post_all_star,NBA
Sacramento Kings,42,balanced - low - 25_more_games - post_all_star,NBA
Los Angeles Clippers,46,balanced - low - 25_more_games - post_all_star,NBA
New Orleans Pelicans,44,balanced - low - 25_more_games - post_all_star,NBA
Atlanta Hawks,39,balanced - low - 25_more_games - post_all_star,NBA
Oklahoma City Thunder,47,balanced - low - 25_more_games - post_all_star,NBA
Dallas Mavericks,41,balanced - low - 25_more_games - post_all_star,NBA
Houston Rockets,41,balanced - low - 25_more_games - post_all_star,NBA
Golden State Warriors,47,balanced - low - 25_more_games - post_all_star,NBA
all,1269,balanced - low - 25_more_games - post_all_star,NBA
Brooklyn Nets,40,balanced - low - 15_games_in_march - monthly,NBA
Los Angeles Lakers,47,balanced - low - 15_games_in_march - monthly,NBA
Cleveland Cavaliers,42,balanced - low - 15_games_in_march - monthly,NBA
Indiana Pacers,36,balanced - low - 15_games_in_march - monthly,NBA
Orlando Magic,41,balanced - low - 15_games_in_march - monthly,NBA
Philadelphia 76ers,40,balanced - low - 15_games_in_march - monthly,NBA
Toronto Raptors,41,balanced - low - 15_games_in_march - monthly,NBA
Boston Celtics,43,balanced - low - 15_games_in_march - monthly,NBA
Chicago Bulls,38,balanced - low - 15_games_in_march - monthly,NBA
Memphis Grizzlies,41,balanced - low - 15_games_in_march - monthly,NBA
Minnesota Timberwolves,42,balanced - low - 15_games_in_march - monthly,NBA
Denver Nuggets,41,balanced - low - 15_games_in_march - monthly,NBA
Portland Trail Blazers,46,balanced - low - 15_games_in_march - monthly,NBA
Phoenix Suns,44,balanced - low - 15_games_in_march - monthly,NBA
Miami Heat,44,balanced - low - 15_games_in_march - monthly,NBA
Milwaukee Bucks,43,balanced - low - 15_games_in_march - monthly,NBA
Charlotte Hornets,41,balanced - low - 15_games_in_march - monthly,NBA
Detroit Pistons,37,balanced - low - 15_games_in_march - monthly,NBA
Washington Wizards,42,balanced - low - 15_games_in_march - monthly,NBA
New York Knicks,41,balanced - low - 15_games_in_march - monthly,NBA
San Antonio Spurs,47,balanced - low - 15_games_in_march - monthly,NBA
Utah Jazz,44,balanced - low - 15_games_in_march - monthly,NBA
Sacramento Kings,42,balanced - low - 15_games_in_march - monthly,NBA
Los Angeles Clippers,45,balanced - low - 15_games_in_march - monthly,NBA
New Orleans Pelicans,44,balanced - low - 15_games_in_march - monthly,NBA
Atlanta Hawks,38,balanced - low - 15_games_in_march - monthly,NBA
Oklahoma City Thunder,46,balanced - low - 15_games_in_march - monthly,NBA
Dallas Mavericks,40,balanced - low - 15_games_in_march - monthly,NBA
Houston Rockets,39,balanced - low - 15_games_in_march - monthly,NBA
Golden State Warriors,48,balanced - low - 15_games_in_march - monthly,NBA
all,1263,balanced - low - 15_games_in_march - monthly,NBA
Brooklyn Nets,40,balanced - low - 15_games_in_march - post_all_star,NBA
Los Angeles Lakers,47,balanced - low - 15_games_in_march - post_all_star,NBA
Cleveland Cavaliers,43,balanced - low - 15_games_in_march - post_all_star,NBA
Indiana Pacers,38,balanced - low - 15_games_in_march - post_all_star,NBA
Orlando Magic,41,balanced - low - 15_games_in_march - post_all_star,NBA
Philadelphia 76ers,40,balanced - low - 15_games_in_march - post_all_star,NBA
Toronto Raptors,41,balanced - low - 15_games_in_march - post_all_star,NBA
Boston Celtics,43,balanced - low - 15_games_in_march - post_all_star,NBA
Chicago Bulls,38,balanced - low - 15_games_in_march - post_all_star,NBA
Memphis Grizzlies,41,balanced - low - 15_games_in_march - post_all_star,NBA
Minnesota Timberwolves,42,balanced - low - 15_games_in_march - post_all_star,NBA
Denver Nuggets,41,balanced - low - 15_games_in_march - post_all_star,NBA
Portland Trail Blazers,46,balanced - low - 15_games_in_march - post_all_star,NBA
Phoenix Suns,50,balanced - low - 15_games_in_march - post_all_star,NBA
Miami Heat,44,balanced - low - 15_games_in_march - post_all_star,NBA
Milwaukee Bucks,43,balanced - low - 15_games_in_march - post_all_star,NBA
Charlotte Hornets,41,balanced - low - 15_games_in_march - post_all_star,NBA
Detroit Pistons,37,balanced - low - 15_games_in_march - post_all_star,NBA
Washington Wizards,42,balanced - low - 15_games_in_march - post_all_star,NBA
New York Knicks,41,balanced - low - 15_games_in_march - post_all_star,NBA
San Antonio Spurs,47,balanced - low - 15_games_in_march - post_all_star,NBA
Utah Jazz,44,balanced - low - 15_games_in_march - post_all_star,NBA
Sacramento Kings,42,balanced - low - 15_games_in_march - post_all_star,NBA
Los Angeles Clippers,45,balanced - low - 15_games_in_march - post_all_star,NBA
New Orleans Pelicans,44,balanced - low - 15_games_in_march - post_all_star,NBA
Atlanta Hawks,39,balanced - low - 15_games_in_march - post_all_star,NBA
Oklahoma City Thunder,47,balanced - low - 15_games_in_march - post_all_star,NBA
Dallas Mavericks,40,balanced - low - 15_games_in_march - post_all_star,NBA
Houston Rockets,39,balanced - low - 15_games_in_march - post_all_star,NBA
Golden State Warriors,51,balanced - low - 15_games_in_march - post_all_star,NBA
all,1277,balanced - low - 15_games_in_march - post_all_star,NBA
