Equipo,Cleveland Cavaliers,Portland Trail Blazers,Golden State Warriors,Indiana Pacers,Orlando Magic,Toronto Raptors,Boston Celtics,Milwaukee Bucks,New Orleans Pelicans,Memphis Grizzlies,Philadelphia 76ers,Phoenix Suns,Los Angeles Lakers,Atlanta Hawks,Chicago Bulls,Sacramento Kings,Brooklyn Nets,Detroit Pistons,Oklahoma City Thunder,Miami Heat,Dallas Mavericks,Utah Jazz,Charlotte Hornets,New York Knicks,San Antonio Spurs,Denver Nuggets,Los Angeles Clippers,Houston Rockets,Minnesota Timberwolves,Washington Wizards
Cleveland Cavaliers,0.0,3307.162502305445,3486.0437797088753,424.00741185883913,1437.7913061498846,304.6465898776284,886.0337616135771,541.7364458540013,1487.5322383706848,1015.38103536899,578.1142475543846,2815.065856685368,3300.538514065118,891.4840026706922,500.04465607189405,3383.0549009726847,654.1240324029252,147.1236881966056,1531.6003169723435,1748.5884730633386,1650.9648074646177,2524.7343432926327,700.1012997838322,651.2755764240418,2019.279485509483,1976.5796192415166,3300.538514065118,1793.5032472929638,1016.4489805521847,491.0009802293033
Portland Trail Blazers,3307.162502305445,0.0,862.6719959604053,3034.3760113347,4069.377747090386,3402.1020565737117,4085.7649657322563,2765.5735005641804,3318.6307296928608,2976.412740046429,3882.385288249298,1619.0609292751226,1329.615002919562,3495.2911196604723,2826.68558052223,778.2055837035272,3938.5415850284157,3167.7321345464115,2393.3213775763215,4357.146179280288,2627.0005771598017,1022.9108038020098,3684.8888633297556,3934.017397000691,2771.017149621671,1580.0892709857449,1329.615002919562,2954.924476443587,2294.9907622372107,3787.647876848356
Golden State Warriors,3486.0437797088753,862.6719959604053,0.0,3135.283693236039,3926.154935279892,3650.7637316298565,4341.623310644889,2962.3159621351756,3095.4734266832543,2899.027831467267,4058.2107173330664,1049.7477047356479,555.9489608721925,3440.6352180205663,2985.9992158694413,119.08641700453106,4139.986957990809,3363.8090262758683,2233.0257036821718,4172.6280563006085,2383.6197161342875,963.9173212736255,3702.678119155762,4136.949667577705,2398.9416712449,1524.106555795979,555.9489608721925,2645.571001815703,2547.5875929250424,3927.058306441803
Indiana Pacers,424.00741185883913,3034.3760113347,3135.283693236039,0.0,1320.0058969426543,709.3786366827792,1299.2353982304494,393.03415650520355,1146.1113406252875,618.1922509576094,939.5988791546813,2412.43284926649,2914.749300503175,684.7808013533125,267.7004141351562,3037.241226056133,1040.8807654838365,387.03088878557327,1109.5914146391606,1647.3372492720434,1229.5099073522713,2184.3982683411073,688.7775007633371,1039.5838412713426,1604.5037513398229,1612.558910658381,2914.749300503175,1392.683544306018,823.7687736661712,793.0820603185338
Orlando Magic,1437.7913061498846,4069.377747090386,3926.154935279892,1320.0058969426543,0.0,1685.5503700516942,1794.4287680582509,1713.0240875047473,859.5019867172217,1098.39232956614,1383.6154716074684,2969.7713134063665,3544.7906062995157,645.8318443734363,1585.921176356087,3854.218598051808,1507.333545261514,1538.7076798334426,1703.6367269266705,327.7742041859006,1549.7651098456122,3086.7729308851194,743.1454707822869,1513.1933854918714,1663.3746906077138,2497.1006127289734,3544.7906062995157,1365.881272771846,2105.6921807897784,1217.6471077133217
Toronto Raptors,304.6465898776284,3402.1020565737117,3650.7637316298565,709.3786366827792,1685.5503700516942,0.0,692.4770465347943,695.2051374320836,1791.3930213444396,1315.730684815703,542.6754971554082,3042.0596424814803,3504.0468652200143,1180.4537481158675,706.3148709430667,3543.471905597098,554.3989549692764,332.8420732738622,1798.2339931891981,1982.9494965762237,1937.8416164271869,2686.942081713753,943.0081154650047,548.5481940109207,2313.4998269096195,2167.669449708956,3504.0468652200143,2094.1462696536573,1117.2615820248368,562.7581178125547
Boston Celtics,886.0337616135771,4085.7649657322563,4341.623310644889,1299.2353982304494,1794.4287680582509,692.4770465347943,0.0,1380.6730552410443,2188.100230868887,1829.7444108269224,440.21199125165174,3700.9421913073593,4180.69012831879,1507.576242866377,1372.5271122986815,4234.933357931554,306.7025360375204,987.2926309549188,2407.230492917579,2020.3482571816949,2497.3473937874774,3377.706097517929,1160.3732628470232,303.29010028009264,2839.3484551940787,2849.2324812423094,4180.69012831879,2584.0476329598523,1808.9369075069126,634.1209466831159
Milwaukee Bucks,541.7364458540013,2765.5735005641804,2962.3159621351756,393.03415650520355,1713.0240875047473,695.2051374320836,1380.6730552410443,0.0,1465.9346056361067,896.8909281679993,1118.8120940783829,2355.799472589712,2809.257224701229,1075.589693862591,130.87476773939767,2856.794786140083,1185.4311078055196,405.9883556280071,1179.4533877000995,2040.3710894232238,1379.3229634866789,1998.6370392671831,1061.2771569611014,1181.7251870390503,1779.2917486710758,1472.4666135088567,2809.257224701229,1617.6677783431592,480.330145221849,1025.1824456322297
New Orleans Pelicans,1487.5322383706848,3318.6307296928608,3095.4734266832543,1146.1113406252875,859.5019867172217,1791.3930213444396,2188.100230868887,1465.9346056361067,0.0,575.4310063513877,1749.3271306498862,2116.183409113906,2692.998916016321,683.6877690193601,1341.4162842943194,3030.4444123913913,1882.1542867223468,1512.012637500966,926.6973836773875,1077.6342007316327,713.0663296516487,2307.4616187751762,1045.6923446572318,1885.1292322874835,810.7035672460753,1740.9116145704033,2692.998916016321,510.77840741245745,1691.5649572504174,1554.85972233063
Memphis Grizzlies,1015.38103536899,2976.412740046429,2899.027831467267,618.1922509576094,1098.39232956614,1315.730684815703,1829.7444108269224,896.8909281679993,575.4310063513877,0.0,1415.3208784711558,2031.7759626275215,2582.632436392281,541.6294872508872,776.5331848353286,2816.444684710041,1538.7562269992952,1003.810037247258,679.7022638504066,1403.0605672915606,676.7043775504901,2012.4598913680543,838.7965777629868,1539.6930929641865,1011.8470352582139,1416.8086678718,2582.632436392281,778.4283729824717,1126.5949783012252,1230.9333313454954
Philadelphia 76ers,578.1142475543846,3882.385288249298,4058.2107173330664,939.5988791546813,1383.6154716074684,542.6754971554082,440.21199125165174,1118.8120940783829,1749.3271306498862,1415.3208784711558,0.0,3350.14247664071,3853.8550600547633,1067.7629277533028,1075.0104032468148,3956.5736091749673,133.5360118624986,714.6797065446398,2025.5227999845927,1634.4307611143668,2089.8177757621215,3098.895981758746,721.0394820247079,137.35615115402743,2417.967325175138,2542.1160675908213,3853.8550600547633,2155.526735233538,1588.2288064415839,194.46747774985616
Phoenix Suns,2815.065856685368,1619.0609292751226,1049.7477047356479,2412.43284926649,2969.7713134063665,3042.0596424814803,3700.9421913073593,2355.799472589712,2116.183409113906,2031.7759626275215,3350.14247664071,0.0,577.7820555395313,2560.9566307476402,2336.63306222424,1022.3771583757286,3453.2373914775235,2719.8999404594447,1354.7361526291315,3188.774189106023,1424.8804577524306,811.9981909381713,2868.840017901495,3451.8427358974673,1369.1583744566337,941.9292840023729,577.7820555395313,1635.6402286521886,2058.6089755659086,3190.496706494517
Los Angeles Lakers,3300.538514065118,1329.615002919562,555.9489608721925,2914.749300503175,3544.7906062995157,3504.0468652200143,4180.69012831879,2809.257224701229,2692.998916016321,2582.632436392281,3853.8550600547633,577.7820555395313,0.0,3118.27329811749,2808.165037214893,581.0779687926215,3949.466129662846,3193.4677663319203,1902.942074645997,3766.416596160496,1996.902075830716,934.3867450436243,3413.826044213923,3947.433805644908,1943.8697943628522,1338.6411935005779,0.0,2213.2352103286357,2453.578504606512,3703.8551343658587
Atlanta Hawks,891.4840026706922,3495.2911196604723,3440.6352180205663,684.7808013533125,645.8318443734363,1180.4537481158675,1507.576242866377,1075.589693862591,683.6877690193601,541.6294872508872,1067.7629277533028,2560.9566307476402,3118.27329811749,0.0,946.4865510710621,3357.690595881046,1201.0312412392798,959.9643777281809,1217.0762965373813,973.0321523711315,1160.7317741261754,2547.8467995314168,365.0162814986303,1204.2930144040752,1414.9848903069424,1951.4718842812758,3118.27329811749,1129.130280378232,1460.0401615816684,873.4900869350192
Chicago Bulls,500.04465607189405,2826.68558052223,2985.9992158694413,267.7004141351562,1585.921176356087,706.3148709430667,1372.5271122986815,130.87476773939767,1341.4162842943194,776.5331848353286,1075.0104032468148,2336.63306222424,2808.165037214893,946.4865510710621,0.0,2883.1010324508875,1154.0730240723758,385.380665580704,1112.636897132407,1913.5140372361932,1292.1269509181507,2024.8704227053852,948.4234540629647,1151.1268878344777,1687.8458982845964,1478.8298800651287,2808.165037214893,1513.0427777695802,569.2176955176772,962.4364296374451
Sacramento Kings,3383.0549009726847,778.2055837035272,119.08641700453106,3037.241226056133,3854.218598051808,3543.471905597098,4234.933357931554,2856.794786140083,3030.4444123913913,2816.444684710041,3956.5736091749673,1022.3771583757286,581.0779687926215,3357.690595881046,2883.1010324508875,0.0,4036.646640883691,3259.351712597129,2155.78911161789,4106.188640283842,2317.522891161869,858.5157182165218,3613.418040490131,4033.500088913966,2351.0681816002543,1429.181208898961,581.0779687926215,2589.916446151418,2437.476704464677,3827.9290953092022
Brooklyn Nets,654.1240324029252,3938.5415850284157,4139.986957990809,1040.8807654838365,1507.333545261514,554.3989549692764,306.7025360375204,1185.4311078055196,1882.1542867223468,1538.7562269992952,133.5360118624986,3453.2373914775235,3949.466129662846,1201.0312412392798,1154.0730240723758,4036.646640883691,0.0,779.6280459394378,2137.877630734429,1749.955830373291,2211.291238780496,3178.1960332242256,854.3488267284735,7.698124181662836,2544.478089431417,2629.889642659985,3949.466129662846,2284.5265475225838,1644.1340333876294,327.544915923514
Detroit Pistons,147.1236881966056,3167.7321345464115,3363.8090262758683,387.03088878557327,1538.7076798334426,332.8420732738622,987.2926309549188,405.9883556280071,1512.012637500966,1003.810037247258,714.6797065446398,2719.8999404594447,3193.4677663319203,959.9643777281809,385.380665580704,3259.351712597129,779.6280459394378,0.0,1465.3984144382644,1855.5530385862521,1608.9699789649255,2400.859761098325,812.9815953049168,776.0192274524109,1989.3041995724093,1862.6745932959454,3193.4677663319203,1779.6247439076676,874.268618287359,637.5845352199252
Oklahoma City Thunder,1531.6003169723435,2393.3213775763215,2233.0257036821718,1109.5914146391606,1703.6367269266705,1798.2339931891981,2407.230492917579,1179.4533877000995,926.6973836773875,679.7022638504066,2025.5227999845927,1354.7361526291315,1902.942074645997,1217.0762965373813,1112.636897132407,2155.78911161789,2137.877630734429,1465.3984144382644,0.0,1973.090892865891,303.88040372132923,1389.0759614261874,1514.3397870048116,2137.4288871992076,674.9858611715135,814.3161175912062,1902.942074645997,664.9112885389748,1116.1330719061602,1855.1598756362855
Miami Heat,1748.5884730633386,4357.146179280288,4172.6280563006085,1647.3372492720434,327.7742041859006,1982.9494965762237,2020.3482571816949,2040.3710894232238,1077.6342007316327,1403.0605672915606,1634.4307611143668,3188.774189106023,3766.416596160496,973.0321523711315,1913.5140372361932,4106.188640283842,1749.955830373291,1855.5530385862521,1973.090892865891,0.0,1789.111150357848,3361.9975844162177,1048.8097131933787,1756.4417845868875,1844.168631369951,2778.9135641884372,3766.416596160496,1557.6773113672193,2432.2503236517286,1484.5396854357934
Dallas Mavericks,1650.9648074646177,2627.0005771598017,2383.6197161342875,1229.5099073522713,1549.7651098456122,1937.8416164271869,2497.3473937874774,1379.3229634866789,713.0663296516487,676.7043775504901,2089.8177757621215,1424.8804577524306,1996.902075830716,1160.7317741261754,1292.1269509181507,2317.522891161869,2211.291238780496,1608.9699789649255,303.88040372132923,1789.111150357848,0.0,1607.7745724457898,1498.1290748854892,2211.906407761506,403.6358684508135,1066.43700149626,1996.902075830716,363.7930755217334,1387.3934650364588,1907.0733661946592
Utah Jazz,2524.7343432926327,1022.9108038020098,963.9173212736255,2184.3982683411073,3086.7729308851194,2686.942081713753,3377.706097517929,1998.6370392671831,2307.4616187751762,2012.4598913680543,3098.895981758746,811.9981909381713,934.3867450436243,2547.8467995314168,2024.8704227053852,858.5157182165218,3178.1960332242256,2400.859761098325,1389.0759614261874,3361.9975844162177,1607.7745724457898,0.0,2780.712654216861,3175.029449421095,1752.7942749861115,596.3837917099761,934.3867450436243,1932.071846839232,1587.661266496903,2972.8186820891656
Charlotte Hornets,700.1012997838322,3684.8888633297556,3702.678119155762,688.7775007633371,743.1454707822869,943.0081154650047,1160.3732628470232,1061.2771569611014,1045.6923446572318,838.7965777629868,721.0394820247079,2868.840017901495,3413.826044213923,365.0162814986303,948.4234540629647,3613.418040490131,854.3488267284735,812.9815953049168,1514.3397870048116,1048.8097131933787,1498.1290748854892,2780.712654216861,0.0,858.3842266865163,1774.178654030239,2188.3696667120976,3413.826044213923,1491.9032632373694,1512.3849355114055,530.439231038954
New York Knicks,651.2755764240418,3934.017397000691,4136.949667577705,1039.5838412713426,1513.1933854918714,548.5481940109207,303.29010028009264,1181.7251870390503,1885.1292322874835,1539.6930929641865,137.35615115402743,3451.8427358974673,3947.433805644908,1204.2930144040752,1151.1268878344777,4033.500088913966,7.698124181662836,776.0192274524109,2137.4288871992076,1756.4417845868875,2211.906407761506,3175.029449421095,858.3842266865163,0.0,2545.8417393700674,2627.3251414310657,3947.433805644908,2286.3708645942734,1639.7484627375936,330.8319806565521
San Antonio Spurs,2019.279485509483,2771.017149621671,2398.9416712449,1604.5037513398229,1663.3746906077138,2313.4998269096195,2839.3484551940787,1779.2917486710758,810.7035672460753,1011.8470352582139,2417.967325175138,1369.1583744566337,1943.8697943628522,1414.9848903069424,1687.8458982845964,2351.0681816002543,2544.478089431417,1989.3041995724093,674.9858611715135,1844.168631369951,403.6358684508135,1752.7942749861115,1774.178654030239,2545.8417393700674,0.0,1293.009242896298,1943.8697943628522,300.0805595293897,1784.84062768222,2228.872490044657
Denver Nuggets,1976.5796192415166,1580.0892709857449,1524.106555795979,1612.558910658381,2497.1006127289734,2167.669449708956,2849.2324812423094,1472.4666135088567,1740.9116145704033,1416.8086678718,2542.1160675908213,941.9292840023729,1338.6411935005779,1951.4718842812758,1478.8298800651287,1429.181208898961,2629.889642659985,1862.6745932959454,814.3161175912062,2778.9135641884372,1066.43700149626,596.3837917099761,2188.3696667120976,2627.3251414310657,1293.009242896298,0.0,1338.6411935005779,1415.8896870122924,1125.9583419932985,2405.327778517776
Los Angeles Clippers,3300.538514065118,1329.615002919562,555.9489608721925,2914.749300503175,3544.7906062995157,3504.0468652200143,4180.69012831879,2809.257224701229,2692.998916016321,2582.632436392281,3853.8550600547633,577.7820555395313,0.0,3118.27329811749,2808.165037214893,581.0779687926215,3949.466129662846,3193.4677663319203,1902.942074645997,3766.416596160496,1996.902075830716,934.3867450436243,3413.826044213923,3947.433805644908,1943.8697943628522,1338.6411935005779,0.0,2213.2352103286357,2453.578504606512,3703.8551343658587
Houston Rockets,1793.5032472929638,2954.924476443587,2645.571001815703,1392.683544306018,1365.881272771846,2094.1462696536573,2584.0476329598523,1617.6677783431592,510.77840741245745,778.4283729824717,2155.526735233538,1635.6402286521886,2213.2352103286357,1129.130280378232,1513.0427777695802,2589.916446151418,2284.5265475225838,1779.6247439076676,664.9112885389748,1557.6773113672193,363.7930755217334,1932.071846839232,1491.9032632373694,2286.3708645942734,300.0805595293897,1415.8896870122924,2213.2352103286357,0.0,1700.0927306321555,1963.8235940231048
Minnesota Timberwolves,1016.4489805521847,2294.9907622372107,2547.5875929250424,823.7687736661712,2105.6921807897784,1117.2615820248368,1808.9369075069126,480.330145221849,1691.5649572504174,1126.5949783012252,1588.2288064415839,2058.6089755659086,2453.578504606512,1460.0401615816684,569.2176955176772,2437.476704464677,1644.1340333876294,874.268618287359,1116.1330719061602,2432.2503236517286,1387.3934650364588,1587.661266496903,1512.3849355114055,1639.7484627375936,1784.84062768222,1125.9583419932985,2453.578504606512,1700.0927306321555,0.0,1504.046998370443
Washington Wizards,491.0009802293033,3787.647876848356,3927.058306441803,793.0820603185338,1217.6471077133217,562.7581178125547,634.1209466831159,1025.1824456322297,1554.85972233063,1230.9333313454954,194.46747774985616,3190.496706494517,3703.8551343658587,873.4900869350192,962.4364296374451,3827.9290953092022,327.544915923514,637.5845352199252,1855.1598756362855,1484.5396854357934,1907.0733661946592,2972.8186820891656,530.439231038954,330.8319806565521,2228.872490044657,2405.327778517776,3703.8551343658587,1963.8235940231048,1504.046998370443,0.0
